,ngram,FR_term_frequency,EN_term_frequency,delta
7392,spurs,1646,437510,435864
7393,origen,42000,437470,395470
7394,anode,127170,437414,310244
7395,affirms,2642,437105,434463
7396,accountable,3110,437019,433909
7397,noblemen,1747,436968,435221
7398,pans,547978,436810,111168
7399,mini,205402,436732,231330
7400,satin,197900,436643,238743
7401,geol,314033,436625,122592
7402,friendships,2104,436617,434513
7403,repertoire,1153219,436590,716629
7404,oxon,5632,436455,430823
7405,masculinity,4293,436403,432110
7406,excludes,4446,436344,431898
7407,assailed,593,436239,435646
7408,reagent,4012,436229,432217
7409,clasped,458,436169,435711
7410,coleman,54281,436111,381830
7411,poole,21196,436023,414827
7412,poly,90669,435971,345302
7413,sibi,309951,435962,126011
7414,promoter,3956,435943,431987
7415,baden,191505,435928,244423
7416,parchment,2058,435912,433854
7417,1777,343127,435848,92721
7418,sancho,125552,435752,310200
7419,wrecked,2812,435728,432916
7420,inspected,2416,435707,433291
7421,fanciful,1276,435671,434395
7422,emotionally,1980,435531,433551
7423,sixties,12145,435431,423286
7424,dramas,6157,435426,429269
7425,banishment,1075,435396,434321
7426,antarctic,13351,435393,422042
7427,pens,28199,435388,407189
7428,terraces,7437,435282,427845
7429,enforcing,4240,435279,431039
7430,pepys,13603,435244,421641
7431,aw,37044,435223,398179
7432,connecticut,92475,435138,342663
7433,whispering,1246,435104,433858
7434,markings,2925,435091,432166
7435,rowe,22698,435084,412386
7436,thickened,2201,434986,432785
7437,manoeuvre,123328,434895,311567
7438,eqn,1030,434879,433849
7439,brougham,40265,434846,394581
7440,mesopotamia,6199,434824,428625
7441,483,232742,434795,202053
7442,polly,12044,434758,422714
7443,halves,2621,434697,432076
7444,battered,1764,434693,432929
7445,magnified,1421,434676,433255
7446,scroll,3308,434673,431365
7447,continents,487514,434644,52870
7448,choral,53586,434618,381032
7449,quaker,35512,434561,399049
7450,effecting,2930,434506,431576
7451,vietnamese,7679,434423,426744
7452,gary,92763,434341,341578
7453,britannia,24037,434216,410179
7454,rebuke,570,434181,433611
7455,cupid,1641,434111,432470
7456,fantasies,5186,434093,428907
7457,bailiff,2093,434038,431945
7458,analogies,625861,434033,191828
7459,wu,55181,433867,378686
7460,fondness,805,433859,433054
7461,maitland,35789,433762,397973
7462,augusta,100603,433761,333158
7463,seaman,5624,433658,428034
7464,watchful,1041,433582,432541
7465,concerted,4222,433534,429312
7466,microscopy,22816,433534,410718
7467,refreshment,980,433533,432553
7468,pear,6829,433524,426695
7469,universality,5753,433506,427753
7470,incapacity,4509,433450,428941
7471,goodbye,3010,433448,430438
7472,pyramids,2935,433429,430494
7473,corresponded,3770,433414,429644
7474,anthology,12307,433319,421012
7475,fortresses,2193,433287,431094
7476,executing,7250,433094,425844
7477,restraints,4698,433084,428386
7478,ida,137507,433013,295506
7479,dishonour,826,432948,432122
7480,undergoes,3544,432924,429380
7481,molar,8864,432890,424026
7482,proprietary,4815,432853,428038
7483,testified,2369,432775,430406
7484,follower,2984,432757,429773
7485,sonata,6945,432726,425781
7486,ingredient,45553,432702,387149
7487,ditches,1531,432697,431166
7488,concurrent,325365,432650,107285
7489,uncertainties,5895,432605,426710
7490,bombardment,4449,432563,428114
7491,ipse,237221,432513,195292
7492,terminating,3047,432439,429392
7493,471,244290,432219,187929
7494,coined,2638,432202,429564
7495,forcible,2152,432196,430044
7496,weird,2167,432129,429962
7497,rectangle,337072,432084,95012
7498,grange,438940,432010,6930
7499,rapture,1458,432007,430549
7500,rag,18921,431926,413005
7501,diction,198869,431923,233054
7502,cn,318816,431897,113081
7503,icy,334704,431881,97177
7504,tributary,2746,431853,429107
7505,7.4,70892,431782,360890
7506,scenarios,234727,431764,197037
7507,tartar,4900,431759,426859
7508,parity,7884,431654,423770
7509,dogmatic,3163,431583,428420
7510,hostess,849,431578,430729
7511,attends,184851,431536,246685
7512,funnel,2485,431519,429034
7513,grin,14706,431476,416770
7514,inconsiderable,1239,431415,430176
7515,violate,4314,431399,427085
7516,overthrown,1174,431350,430176
7517,heinemann,41932,431345,389413
7518,narrowed,2122,431252,429130
7519,peroxide,36555,431191,394636
7520,cloths,2331,431167,428836
7521,contests,2398,431154,428756
7522,pest,59729,431102,371373
7523,lymphocytes,143755,431094,287339
7524,libya,13603,431028,417425
7525,consciences,609286,430967,178319
7526,transplantation,156121,430939,274818
7527,fungus,12065,430937,418872
7528,errand,2566,430893,428327
7529,preoccupied,2598,430827,428229
7530,1640,197306,430823,233517
7531,hor,59934,430793,370859
7532,ht,423354,430774,7420
7533,protocols,7809,430726,422917
7534,embarrassing,1423,430662,429239
7535,toby,17665,430659,412994
7536,greed,3450,430572,427122
7537,heroism,2072,430567,428495
7538,armament,3379,430489,427110
7539,hal,71252,430475,359223
7540,nathan,222092,430470,208378
7541,reliefs,598598,430457,168141
7542,disgusted,731,430409,429678
7543,obtainable,3457,430382,426925
7544,waller,48238,430253,382015
7545,arrears,3080,430072,426992
7546,confederate,2245,430070,427825
7547,dun,133309,430067,296758
7548,causality,10099,430016,419917
7549,eusebius,6745,429970,423225
7550,objectionable,2107,429943,427836
7551,enchanted,2065,429911,427846
7552,trespass,4742,429824,425082
7553,sheds,7209,429792,422583
7554,clown,68205,429772,361567
7555,monitored,4318,429747,425429
7556,murderers,1179,429733,428554
7557,denomination,1308552,429733,878819
7558,configurations,229352,429610,200258
7559,primacy,6072,429331,423259
7560,cigar,2476,429258,426782
7561,awaken,1602,429141,427539
7562,granada,41321,429126,387805
7563,tag,67414,429120,361706
7564,sion,632072,429114,202958
7565,subdivided,4117,429010,424893
7566,populated,5201,429006,423805
7567,doctrinal,188771,428957,240186
7568,whan,1307,428928,427621
7569,487,230341,428897,198556
7570,474,228138,428884,200746
7571,antenna,7953,428880,420927
7572,succour,740,428825,428085
7573,neutron,58832,428704,369872
7574,foresee,3324,428649,425325
7575,1781,345658,428645,82987
7576,traitors,1232,428623,427391
7577,weimar,302322,428544,126222
7578,estuary,8786,428516,419730
7579,filtration,260737,428502,167765
7580,ezra,34233,428459,394226
7581,soaked,1408,428458,427050
7582,mustard,3534,428424,424890
7583,turtle,6149,428399,422250
7584,distributing,4094,428369,424275
7585,candour,1152,428353,427201
7586,acquisitions,702767,428331,274436
7587,thucydides,3275,428252,424977
7588,mammalian,12309,428235,415926
7589,graciously,1145,428174,427029
7590,deformed,6862,428120,421258
7591,missouri,127712,428042,300330
7592,cue,13561,428018,414457
7593,romania,85078,427795,342717
7594,wilful,3030,427759,424729
7595,migrant,106161,427677,321516
7596,530,258037,427638,169601
7597,wary,2572,427586,425014
7598,tipped,967,427538,426571
7599,solvents,4419,427531,423112
7600,diagnosed,4159,427525,423366
7601,administering,3739,427480,423741
7602,hydrocarbons,8708,427461,418753
7603,improves,5318,427382,422064
7604,visibly,1534,427258,425724
7605,subscriptions,17785,427245,409460
7606,yahweh,14543,427213,412670
7607,adopts,3953,427161,423208
7608,ii.,53817,427125,373308
7609,uphold,2902,427117,424215
7610,newfoundland,17373,427112,409739
7611,futures,801907,427076,374831
7612,dialectical,7202,427074,419872
7613,neque,239860,427070,187210
7614,trio,154582,426979,272397
7615,nausea,2849,426835,423986
7616,jubilee,8442,426813,418371
7617,flooded,3153,426805,423652
7618,amiss,730,426801,426071
7619,harbor,37702,426786,389084
7620,contrivance,1171,426713,425542
7621,glue,5442,426700,421258
7622,mercies,493,426558,426065
7623,superstitions,331789,426555,94766
7624,jus,1331527,426448,905079
7625,glances,772,426432,425660
7626,canoes,8225,426428,418203
7627,furnishing,3274,426396,423122
7628,highways,6862,426384,419522
7629,allegorical,3146,426372,423226
7630,distressing,1045,426272,425227
7631,aligned,4560,426176,421616
7632,spire,256518,426085,169567
7633,curled,994,425996,425002
7634,assuring,3244,425959,422715
7635,ordinates,2023,425956,423933
7636,promotes,3322,425905,422583
7637,478,221400,425838,204438
7638,necrosis,8936,425820,416884
7639,lingered,568,425796,425228
7640,listeners,2949,425787,422838
7641,partnerships,8488,425776,417288
7642,telex,241150,425679,184529
7643,hospitable,1091,425579,424488
7644,misled,1717,425433,423716
7645,484,235776,425424,189648
7646,diligently,851,425285,424434
7647,vn,538131,425278,112853
7648,cleanliness,2654,425185,422531
7649,jelly,4373,425152,420779
7650,ape,36341,425141,388800
7651,bends,2443,425134,422691
7652,auckland,34744,425130,390386
7653,ungrateful,735,425029,424294
7654,immature,32099,424948,392849
7655,endangered,5145,424915,419770
7656,frivolous,1370,424905,423535
7657,ki,266128,424859,158731
7658,rudimentary,3284,424814,421530
7659,mockery,1380,424803,423423
7660,samson,166679,424745,258066
7661,davy,160165,424733,264568
7662,ministries,5967,424666,418699
7663,ostensibly,2052,424650,422598
7664,reforming,10815,424543,413728
7665,polynomial,5524,424536,419012
7666,wardrobe,1072,424500,423428
7667,frown,665,424476,423811
7668,rigour,2196,424434,422238
7669,invading,2204,424374,422170
7670,hartley,38839,424282,385443
7671,relic,1537,424227,422690
7672,catches,4353,424166,419813
7673,veto,382061,424156,42095
7674,astray,2692,424144,421452
7675,mortification,151753,424141,272388
7676,champions,231440,424101,192661
7677,diminishes,3027,424027,421000
7678,plotting,3430,424009,420579
7679,deformity,4181,423987,419806
7680,armenia,9406,423914,414508
7681,interposed,855,423897,423042
7682,wording,7484,423881,416397
7683,obliging,1327,423806,422479
7684,internationally,6487,423732,417245
7685,inferiority,2699,423693,420994
7686,aldermen,14840,423672,408832
7687,503,219563,423596,204033
7688,bk,28172,423596,395424
7689,forfeit,1510,423584,422074
7690,gallon,51899,423562,371663
7691,1-5,63317,423470,360153
7692,pharisees,854,423450,422596
7693,aires,944308,423382,520926
7694,pari,820095,423375,396720
7695,mahomet,513525,423373,90152
7696,verona,25522,423283,397761
7697,reptiles,326887,423231,96344
7698,beacon,16967,423040,406073
7699,retrospective,262791,423017,160226
7700,bog,14292,422891,408599
7701,subdue,942,422890,421948
7702,hose,10416,422885,412469
7703,fragmentary,4665,422810,418145
7704,interdependence,8905,422779,413874
7705,abd,408137,422720,14583
7706,beth,41653,422707,381054
7707,needing,1790,422707,420917
7708,enhancing,6241,422681,416440
7709,gu,55007,422670,367663
7710,conquering,2011,422663,420652
7711,intervened,2282,422607,420325
7712,ruby,28023,422582,394559
7713,archipelago,11971,422556,410585
7714,488,224821,422437,197616
7715,harmondsworth,19347,422314,402967
7716,determinate,8981,422238,413257
7717,transcript,7553,422215,414662
7718,soothing,813,422144,421331
7719,specialization,10305,422125,411820
7720,sqq,162129,422124,259995
7721,cleansing,2897,422120,419223
7722,poses,1102906,422116,680790
7723,urges,3294,422085,418791
7724,surge,16097,421978,405881
7725,grossly,2120,421978,419858
7726,arouse,2546,421944,419398
7727,cranmer,17430,421942,404512
7728,parisian,10355,421873,411518
7729,isolate,7284,421825,414541
7730,cruelly,735,421823,421088
7731,latitudes,283773,421779,138006
7732,squeeze,4680,421762,417082
7733,confederacy,2278,421757,419479
7734,senseless,1374,421716,420342
7735,reconstructed,5579,421587,416008
7736,brightest,1202,421532,420330
7737,486,223648,421516,197868
7738,executor,4352,421474,417122
7739,competitiveness,12613,421467,408854
7740,facilitating,6532,421454,414922
7741,seminar,44491,421353,376862
7742,04,370847,421295,50448
7743,algebraic,6517,421267,414750
7744,anglia,17453,421261,403808
7745,8.3,68144,421250,353106
7746,jn,134485,421228,286743
7747,ada,60725,421210,360485
7748,equatorial,129867,421182,291315
7749,hannibal,53994,421168,367174
7750,shun,5986,421151,415165
7751,3.7,111270,421120,309850
7752,nobly,686,421056,420370
7753,fairfax,25733,421020,395287
7754,appointing,2569,420857,418288
7755,worshippers,1080,420851,419771
7756,concealment,1535,420812,419277
7757,defeats,1152,420778,419626
7758,retrospect,6815,420752,413937
7759,lotus,143076,420747,277671
7760,summers,16947,420714,403767
7761,obligatory,6940,420680,413740
7762,peterborough,16490,420666,404176
7763,butterflies,1944,420644,418700
7764,persists,3326,420637,417311
7765,progressed,3006,420620,417614
7766,becker,217865,420609,202744
7767,vacation,61968,420598,358630
7768,proportionate,3463,420575,417112
7769,regal,67785,420497,352712
7770,satirical,2347,420482,418135
7771,chloroform,4378,420465,416087
7772,meters,17869,420460,402591
7773,tabernacle,140831,420418,279587
7774,prosecutor,9694,420298,410604
7775,wc,34432,420199,385767
7776,bei,1093480,420179,673301
7777,ascertaining,3522,420079,416557
7778,loaf,1808,420078,418270
7779,walsh,52555,420061,367506
7780,15s,8666,420027,411361
7781,amorphous,10407,420003,409596
7782,wig,4387,419993,415606
7783,battlefield,2626,419834,417208
7784,werner,253767,419764,165997
7785,widened,2606,419706,417100
7786,usher,19633,419705,400072
7787,cutaneous,7878,419699,411821
7788,489,219025,419550,200525
7789,patriots,3243,419529,416286
7790,inconceivable,2030,419495,417465
7791,confound,909,419467,418558
7792,dum,179387,419426,240039
7793,downfall,2178,419419,417241
7794,o'connor,40673,419406,378733
7795,greenwood,30951,419399,388448
7796,loue,822651,419373,403278
7797,imposes,603605,419342,184263
7798,abstain,2558,419336,416778
7799,zion,12797,419263,406466
7800,narration,602092,419233,182859
7801,neptune,181867,419230,237363
7802,ruinous,969,419209,418240
7803,uppermost,3143,419178,416035
7804,plaza,61815,419157,357342
7805,killer,11756,419139,407383
7806,ferns,2438,419094,416656
7807,trustworthy,1571,419062,417491
7808,ontological,7855,419046,411191
7809,dusky,2199,418964,416765
7810,refining,10558,418956,408398
7811,fiat,176556,418932,242376
7812,ominous,1212,418814,417602
7813,babylonian,6169,418771,412602
7814,ao,433947,418735,15212
7815,breeches,1023,418679,417656
7816,semantics,30807,418677,387870
7817,gait,6240,418665,412425
7818,arrogant,64326,418653,354327
7819,galileo,31507,418637,387130
7820,persona,166935,418626,251691
7821,euphrates,4088,418588,414500
7822,positioning,6364,418567,412203
7823,trojan,7154,418482,411328
7824,relieving,2151,418465,416314
7825,swamp,6838,418406,411568
7826,endowments,2940,418307,415367
7827,leakage,4449,418285,413836
7828,tm,129062,418275,289213
7829,dissection,226329,418265,191936
7830,dragoons,1109,418218,417109
7831,privatization,9509,418121,408612
7832,sued,7815,418088,410273
7833,ethic,11623,417993,406370
7834,presupposes,158301,417931,259630
7835,justifiable,59903,417815,357912
7836,embryonic,10096,417810,407714
7837,eats,3045,417787,414742
7838,humor,18364,417757,399393
7839,twisting,1424,417714,416290
7840,citing,3106,417669,414563
7841,distinguishable,2861,417651,414790
7842,auditors,3786,417612,413826
7843,processor,5845,417579,411734
7844,correspondingly,3263,417560,414297
7845,wentworth,15302,417407,402105
7846,decease,1396,417309,415913
7847,faraday,124309,417308,292999
7848,paine,82855,417285,334430
7849,surrounds,2259,417113,414854
7850,diving,4669,417041,412372
7851,sensibly,1190,416983,415793
7852,thighs,1055,416976,415921
7853,hae,14976,416835,401859
7854,conf,207387,416819,209432
7855,benefactor,2617,416758,414141
7856,diversified,5975,416757,410782
7857,odyssey,4973,416745,411772
7858,hardening,6145,416583,410438
7859,darius,152646,416557,263911
7860,harrow,12405,416525,404120
7861,dipped,1169,416501,415332
7862,invites,920428,416382,504046
7863,clinically,4349,416379,412030
7864,banned,2582,416354,413772
7865,steed,7721,416301,408580
7866,idiot,199110,416183,217073
7867,releasing,7346,415992,408646
7868,fried,31532,415919,384387
7869,coincided,2986,415869,412883
7870,wearied,492,415825,415333
7871,discourage,2401,415812,413411
7872,normans,10097,415802,405705
7873,scruples,753,415759,415006
7874,lessened,1780,415710,413930
7875,bizarre,813166,415645,397521
7876,482,216283,415616,199333
7877,deputation,757549,415367,342182
7878,sleeps,1827,415338,413511
7879,transcendent,26504,415296,388792
7880,prop,151945,415287,263342
7881,turbulence,161588,415201,253613
7882,luis,380725,415188,34463
7883,entreat,494,415188,414694
7884,cortes,378663,415177,36514
7885,clover,6780,415151,408371
7886,evangelist,2053,415110,413057
7887,pea,28232,415075,386843
7888,minutely,1090,415007,413917
7889,wilkins,36032,414915,378883
7890,spike,9747,414861,405114
7891,cloudy,2352,414774,412422
7892,spells,2495,414728,412233
7893,temp,76415,414721,338306
7894,whosoever,731,414675,413944
7895,hurrying,528,414659,414131
7896,winters,9401,414461,405060
7897,woes,1174,414425,413251
7898,vt,108635,414381,305746
7899,expanse,10599,414289,403690
7900,dive,31353,414270,382917
7901,s.e.,103050,414180,311130
7902,organising,4719,414178,409459
7903,ds,369157,414170,45013
7904,partiality,1194,414114,412920
7905,anomaly,7507,413999,406492
7906,marseilles,7754,413970,406216
7907,525,251894,413944,162050
7908,aliens,15042,413932,398890
7909,mb,114718,413903,299185
7910,dissenting,7239,413867,406628
7911,causa,777441,413856,363585
7912,demosthenes,42517,413818,371301
7913,logos,251980,413798,161818
7914,arbitrarily,4312,413761,409449
7915,neighbors,5808,413693,407885
7916,audible,42594,413688,371094
7917,cabbage,2873,413682,410809
7918,lombard,274491,413680,139189
7919,stitch,976,413666,412690
7920,mastered,2070,413647,411577
7921,tapestry,2964,413634,410670
7922,gloria,153832,413615,259783
7923,ku,88109,413559,325450
7924,viking,38318,413491,375173
7925,databases,4472,413479,409007
7926,dora,102969,413412,310443
7927,incoming,4103,413390,409287
7928,fairs,6843,413344,406501
7929,impure,101255,413325,312070
7930,chemists,6109,413324,407215
7931,slumber,853,413297,412444
7932,leaping,1045,413238,412193
7933,inquiring,1845,413135,411290
7934,cancel,9352,413016,403664
7935,comforted,326,412930,412604
7936,wharf,34967,412906,377939
7937,courtier,185273,412884,227611
7938,appended,3540,412869,409329
7939,reminding,1830,412834,411004
7940,admirer,891943,412811,479132
7941,averages,5375,412799,407424
7942,domesday,7913,412788,404875
7943,glossy,2012,412775,410763
7944,babe,8393,412649,404256
7945,syntactic,20323,412633,392310
7946,salad,2138,412611,410473
7947,pervasive,4099,412535,408436
7948,malady,1992,412532,410540
7949,"25,000",133552,412479,278927
7950,antithesis,2551,412378,409827
7951,violations,236337,412362,176025
7952,560,271899,412346,140447
7953,n.d.,72027,412334,340307
7954,democracies,10382,412326,401944
7955,philo,93578,412288,318710
7956,serbia,8716,412281,403565
7957,xxxiv,237948,412275,174327
7958,movable,5234,412269,407035
7959,fairies,1736,412176,410440
7960,montrose,17014,412163,395149
7961,atrial,4873,412155,407282
7962,grease,4794,412136,407342
7963,irregularly,2947,412064,409117
7964,apprentices,3624,411991,408367
7965,sparrow,9045,411959,402914
7966,eyelids,1505,411943,410438
7967,sheriffs,12973,411894,398921
7968,11.1,75137,411892,336755
7969,2a,145837,411802,265965
7970,molten,4836,411781,406945
7971,0.01,73084,411676,338592
7972,aorta,6826,411617,404791
7973,prolific,3362,411591,408229
7974,intentionally,4459,411580,407121
7975,conjectures,460101,411555,48546
7976,courier,105025,411464,306439
7977,calibration,27079,411441,384362
7978,sweetest,777,411416,410639
7979,dio,143406,411413,268007
7980,perchance,768,411394,410626
7981,headlong,1179,411380,410201
7982,05,485931,411353,74578
7983,academics,2509,411351,408842
7984,tow,9764,411326,401562
7985,uniquely,3466,411281,407815
7986,suffix,4333,411263,406930
7987,acknowledgement,4185,411237,407052
7988,9.2,64392,411177,346785
7989,impoverished,2246,411161,408915
7990,attentions,199138,410933,211795
7991,encamped,478,410922,410444
7992,barge,42809,410866,368057
7993,agamemnon,93518,410844,317326
7994,norris,33950,410840,376890
7995,pictured,1828,410837,409009
7996,partridge,9601,410831,401230
7997,insure,5695,410754,405059
7998,oscillation,385349,410710,25361
7999,cameras,92727,410698,317971
8000,hutton,36169,410679,374510
8001,modifying,6338,410577,404239
8002,optional,6710,410567,403857
8003,broker,10201,410555,400354
8004,amelia,20997,410497,389500
8005,begotten,744,410492,409748
8006,5.6,87379,410433,323054
8007,dominican,8574,410428,401854
8008,julie,427245,410415,16830
8009,feminists,2510,410387,407877
8010,attaching,2772,410352,407580
8011,platforms,5518,410224,404706
8012,atrophy,4835,410222,405387
8013,lilies,2226,410198,407972
8014,kitty,18037,410165,392128
8015,psycho,424492,410155,14337
8016,scandinavia,7244,410010,402766
8017,504,220558,409991,189433
8018,499,228798,409956,181158
8019,cheers,2026,409917,407891
8020,crab,9134,409813,400679
8021,reversible,162740,409703,246963
8022,weariness,661,409607,408946
8023,coordinated,6966,409585,402619
8024,kernel,8301,409573,401272
8025,adventurous,1339,409465,408126
8026,tanzania,24725,409450,384725
8027,rudolf,160894,409408,248514
8028,1773,277259,409382,132123
8029,talented,2153,409337,407184
8030,onion,3603,409272,405669
8031,trimmed,1318,409206,407888
8032,operatives,12679,409145,396466
8033,dissimilar,2702,409125,406423
8034,chromium,7091,409125,402034
8035,queensland,57525,409082,351557
8036,gd,38616,408987,370371
8037,obstinacy,749,408980,408231
8038,baseline,4665,408896,404231
8039,airlines,52669,408892,356223
8040,suburb,4085,408873,404788
8041,originals,5516,408863,403347
8042,cherish,1241,408858,407617
8043,affinities,6693,408840,402147
8044,elm,11178,408584,397406
8045,impelled,1179,408565,407386
8046,conjugate,3630,408561,404931
8047,plurality,5202,408546,403344
8048,enclose,30618,408542,377924
8049,insecurity,5888,408539,402651
8050,prescribe,4941,408537,403596
8051,homeland,10250,408507,398257
8052,infarction,6958,408498,401540
8053,bordering,4039,408495,404456
8054,502,217158,408494,191336
8055,topical,7394,408489,401095
8056,earthquakes,7985,408452,400467
8057,bearded,1525,408411,406886
8058,dielectric,10238,408401,398163
8059,contemptible,1702,408371,406669
8060,gleaming,817,408326,407509
8061,profitability,7760,408294,400534
8062,bordered,2310,408277,405967
8063,woolf,65094,408275,343181
8064,adaptations,274108,408268,134160
8065,foreword,15091,408232,393141
8066,habitats,148332,408166,259834
8067,groupings,4918,408141,403223
8068,warburton,15766,408084,392318
8069,crucifixion,75930,408059,332129
8070,consonants,10582,408044,397462
8071,provider,5551,408038,402487
8072,evidenced,7016,408005,400989
8073,493,202868,407950,205082
8074,1772,306272,407871,101599
8075,azure,22647,407750,385103
8076,parcels,5418,407717,402299
8077,mates,30192,407687,377495
8078,dares,54587,407626,353039
8079,councillor,2799,407622,404823
8080,sweets,2033,407517,405484
8081,boers,122114,407506,285392
8082,cheering,417,407504,407087
8083,ethanol,70357,407389,337032
8084,intriguing,2532,407297,404765
8085,nc,200580,407291,206711
8086,cynical,1628,407210,405582
8087,contours,814656,407131,407525
8088,grams,5551,407130,401579
8089,modernism,8729,407128,398399
8090,theologian,2776,406983,404207
8091,abounds,1073,406909,405836
8092,sane,61648,406863,345215
8093,booty,1267,406830,405563
8094,unjustly,1224,406816,405592
8095,indus,184383,406762,222379
8096,concentric,4290,406727,402437
8097,3-5,67585,406656,339071
8098,gratifying,1656,406641,404985
8099,heen,14063,406637,392574
8100,cur,69232,406569,337337
8101,acquaint,2447,406501,404054
8102,unintelligible,1292,406380,405088
8103,marlowe,23644,406320,382676
8104,athletic,5083,406290,401207
8105,lawson,43015,406098,363083
8106,elias,152556,406014,253458
8107,reversion,85283,405979,320696
8108,deter,61715,405964,344249
8109,bead,2767,405897,403130
8110,rupees,3090,405891,402801
8111,497,213290,405856,192566
8112,fuels,20581,405827,385246
8113,intimated,1140,405804,404664
8114,frogs,3476,405767,402291
8115,brewer,18600,405671,387071
8116,10.1,60995,405619,344624
8117,optimization,12068,405599,393531
8118,lutheran,4455,405525,401070
8119,incessantly,976,405520,404544
8120,carey,51598,405480,353882
8121,507,236018,405467,169449
8122,wt,28920,405419,376499
8123,gallantry,663,405411,404748
8124,policing,13306,405383,392077
8125,chaotic,5094,405383,400289
8126,centrally,4262,405328,401066
8127,rowland,27476,405299,377823
8128,tenement,22859,405276,382417
8129,pal,400557,405186,4629
8130,reactionary,3075,405147,402072
8131,kew,35518,405133,369615
8132,oars,1288,405122,403834
8133,wh,23558,405070,381512
8134,flashes,19912,405069,385157
8135,classify,5540,405062,399522
8136,distraction,414361,405037,9324
8137,kansas,78322,405014,326692
8138,carpets,1789,404986,403197
8139,courtly,2670,404941,402271
8140,imperialist,3840,404880,401040
8141,ozone,234638,404876,170238
8142,sagacity,640,404869,404229
8143,soever,971,404836,403865
8144,depletion,29569,404711,375142
8145,weir,21994,404552,382558
8146,anomalous,6255,404503,398248
8147,ephesus,1469,404462,402993
8148,renounced,1924,404413,402489
8149,holocaust,16285,404410,388125
8150,freshwater,14627,404376,389749
8151,dosage,776054,404364,371690
8152,ester,150135,404234,254099
8153,ov,62473,404218,341745
8154,confided,1008,404200,403192
8155,dissipation,168755,404160,235405
8156,snowy,2390,404152,401762
8157,m2,506007,404100,101907
8158,artefacts,59002,404042,345040
8159,packaging,11661,404024,392363
8160,rigidly,2006,403978,401972
8161,shaftesbury,49321,403942,354621
8162,ducts,5076,403940,398864
8163,consternation,194353,403868,209515
8164,antiquarian,5697,403843,398146
8165,vaginal,93777,403820,310043
8166,biographies,254988,403794,148806
8167,uninterrupted,2576,403731,401155
8168,pluralism,13828,403580,389752
8169,scaffold,1049,403505,402456
8170,clamour,1352,403471,402119
8171,bridle,868,403419,402551
8172,civility,1628,403360,401732
8173,compromised,2096,403314,401218
8174,moulds,2958,403212,400254
8175,lends,3258,403179,399921
8176,malaya,11368,403159,391791
8177,coincides,5104,403092,397988
8178,hysterical,2226,403072,400846
8179,erskine,32283,403060,370777
8180,educate,3216,403045,399829
8181,screamed,451,402994,402543
8182,avert,3531,402994,399463
8183,employments,1167,402974,401807
8184,housekeeper,824,402928,402104
8185,ur,447612,402923,44689
8186,entertainments,1543,402919,401376
8187,necessitated,3082,402903,399821
8188,upstream,7441,402876,395435
8189,dissipated,1914,402858,400944
8190,p.o.,76106,402663,326557
8191,intimation,15898,402612,386714
8192,provocation,421439,402609,18830
8193,perched,1046,402598,401552
8194,jasper,25014,402584,377570
8195,screws,2150,402566,400416
8196,dozens,2201,402550,400349
8197,thrill,4386,402513,398127
8198,1779,287946,402442,114496
8199,flaming,3010,402431,399421
8200,indemnity,9385,402406,393021
8201,brushed,854,402389,401535
8202,genital,182501,402380,219879
8203,linger,4945,402356,397411
8204,dinners,904,402252,401348
8205,alumina,8033,402220,394187
8206,towne,3705,402120,398415
8207,nourished,2009,402038,400029
8208,vagina,10265,401898,391633
8209,servile,306721,401898,95177
8210,steven,53560,401859,348299
8211,devastating,2229,401803,399574
8212,thorpe,14795,401691,386896
8213,digested,2123,401639,399516
8214,koran,65220,401607,336387
8215,semblance,22984,401600,378616
8216,trajectory,6162,401543,395381
8217,drifting,2851,401519,398668
8218,fraught,1549,401492,399943
8219,aristotelian,10860,401459,390599
8220,cuban,12907,401440,388533
8221,measurable,4088,401421,397333
8222,occupants,320531,401292,80761
8223,slot,9503,401283,391780
8224,disgraceful,654,401264,400610
8225,plastics,10024,401253,391229
8226,mounds,9800,401204,391404
8227,ensue,1640,401167,399527
8228,wolfe,53073,401141,348068
8229,purposely,1387,401081,399694
8230,paired,5621,401046,395425
8231,invincible,525507,401031,124476
8232,casa,339567,400992,61425
8233,bulbs,1876,400977,399101
8234,sae,19401,400925,381524
8235,againe,1017,400873,399856
8236,stale,10075,400869,390794
8237,momentous,1326,400866,399540
8238,insults,1662,400827,399165
8239,knave,949,400727,399778
8240,politic,9729,400694,390965
8241,constituencies,2516,400634,398118
8242,06,351416,400589,49173
8243,meditations,549494,400527,148967
8244,primate,20411,400518,380107
8245,deplorable,776435,400399,376036
8246,ax,102111,400397,298286
8247,silvery,793,400308,399515
8248,diesel,230659,400300,169641
8249,491,204540,400215,195675
8250,hadrian,4019,400132,396113
8251,frenzy,1748,400103,398355
8252,floral,58428,400062,341634
8253,rh,104057,400039,295982
8254,assimilated,5601,399993,394392
8255,peopled,1413,399969,398556
8256,catechism,2981,399965,396984
8257,enraged,598,399888,399290
8258,adrenal,8871,399860,390989
8259,deployment,3806,399707,395901
8260,xenophon,159603,399618,240015
8261,soe,38243,399609,361366
8262,hips,2220,399578,397358
8263,intercept,4338,399427,395089
8264,annexation,5235,399393,394158
8265,hurled,608,399391,398783
8266,spices,2013,399383,397370
8267,cot,109569,399312,289743
8268,clues,3304,399247,395943
